[g1]		Group A1
[p2, 0, 0, 0]	Piano 1
[p2, 1, 0, 0]	Piano 2
[p2, 2, 0, 0]	Elec Grand
[p2, 3, 0, 0]	Honky-Tonk
[p2, 4, 0, 0]	E.Piano 1
[p2, 5, 0, 0]	E.Piano 2
[p2, 6, 0, 0]	Harpschrd
[p2, 7, 0, 0]	Clav
[p2, 8, 0, 0]	Celeste
[p2, 9, 0, 0]	Glockenspl
[p2, 10, 0, 0]	Music Box
[p2, 11, 0, 0]	Vibes
[p2, 12, 0, 0]	Marimba
[p2, 13, 0, 0]	Xylophone
[p2, 14, 0, 0]	TubularBel
[p2, 15, 0, 0]	Santur
[p2, 16, 0, 0]	Organ 1
[p2, 17, 0, 0]	Organ 2
[p2, 18, 0, 0]	Organ 3
[p2, 19, 0, 0]	ChurchOrgn
[p2, 20, 0, 0]	Reed Organ
[p2, 21, 0, 0]	Accordian
[p2, 22, 0, 0]	Harmonica
[p2, 23, 0, 0]	Bandoneon
[p2, 24, 0, 0]	Nylon Gtr
[p2, 25, 0, 0]	Steel Gtr
[p2, 26, 0, 0]	Jazz Gtr
[p2, 27, 0, 0]	Clean Gtr
[p2, 28, 0, 0]	Mute Gtr
[p2, 29, 0, 0]	Overdrive
[p2, 30, 0, 0]	Distortion
[p2, 31, 0, 0]	Gt.Harmnix
[g1]		Group A2
[p2, 32, 0, 0]	AcousBass
[p2, 33, 0, 0]	FingerBass
[p2, 34, 0, 0]	PickedBass
[p2, 35, 0, 0]	Fretless
[p2, 36, 0, 0]	Slap Bass1
[p2, 37, 0, 0]	Slap Bass2
[p2, 38, 0, 0]	Syn.Bass 1
[p2, 39, 0, 0]	Syn.Bass 2
[p2, 40, 0, 0]	Violin
[p2, 41, 0, 0]	Viola
[p2, 42, 0, 0]	Cello
[p2, 43, 0, 0]	Contrabass
[p2, 44, 0, 0]	TremoloStr
[p2, 45, 0, 0]	Pizzicato
[p2, 46, 0, 0]	Harp
[p2, 47, 0, 0]	Timpani
[p2, 48, 0, 0]	Strings
[p2, 49, 0, 0]	Slo String
[p2, 50, 0, 0]	SynString1
[p2, 51, 0, 0]	SynString2
[p2, 52, 0, 0]	Choir Aahs
[p2, 53, 0, 0]	Ooh Vox
[p2, 54, 0, 0]	Synvox
[p2, 55, 0, 0]	Orchst.Hit
[p2, 56, 0, 0]	Trumpet
[p2, 57, 0, 0]	Trombone
[p2, 58, 0, 0]	Tuba
[p2, 59, 0, 0]	Mute Trump
[p2, 60, 0, 0]	FrenchHorn
[p2, 61, 0, 0]	Brass
[p2, 62, 0, 0]	Syn.Brass1
[p2, 63, 0, 0]	Syn.Brass2
[g1]		Group A3
[p2, 64, 0, 0]	SopranoSax
[p2, 65, 0, 0]	Alto Sax
[p2, 66, 0, 0]	Tenor Sax
[p2, 67, 0, 0]	Bari Sax
[p2, 68, 0, 0]	Oboe
[p2, 69, 0, 0]	EnglishHrn
[p2, 70, 0, 0]	Bassoon
[p2, 71, 0, 0]	Clarinet
[p2, 72, 0, 0]	Piccolo
[p2, 73, 0, 0]	Flute
[p2, 74, 0, 0]	Recorder
[p2, 75, 0, 0]	Pan Flute
[p2, 76, 0, 0]	BottleBlow
[p2, 77, 0, 0]	Shakuhachi
[p2, 78, 0, 0]	Whistle
[p2, 79, 0, 0]	Ocarina
[p2, 80, 0, 0]	SquareWave
[p2, 81, 0, 0]	Saw Wave
[p2, 82, 0, 0]	Calliope
[p2, 83, 0, 0]	Chiffer Ld
[p2, 84, 0, 0]	Charang
[p2, 85, 0, 0]	Solo Voice
[p2, 86, 0, 0]	5th Saw
[p2, 87, 0, 0]	Bass&Lead
[p2, 88, 0, 0]	Fantasia
[p2, 89, 0, 0]	Warm Pad
[p2, 90, 0, 0]	Polysynth
[p2, 91, 0, 0]	SpaceVoice
[p2, 92, 0, 0]	BowedGlass
[p2, 93, 0, 0]	Metal Pad
[p2, 94, 0, 0]	Halo Pad
[p2, 95, 0, 0]	Sweep Pad
[g1]		Group A4
[p2, 96, 0, 0]	Ice Rain
[p2, 97, 0, 0]	Soundtrack
[p2, 98, 0, 0]	Crystal
[p2, 99, 0, 0]	Atmosphere
[p2, 100, 0, 0]	Brightness
[p2, 101, 0, 0]	Goblins
[p2, 102, 0, 0]	Echo Drops
[p2, 103, 0, 0]	Star Theme
[p2, 104, 0, 0]	Sitar
[p2, 105, 0, 0]	Banjo
[p2, 106, 0, 0]	Shamisen
[p2, 107, 0, 0]	Koto
[p2, 108, 0, 0]	Kalimba
[p2, 109, 0, 0]	Bagpipe
[p2, 110, 0, 0]	Fiddle
[p2, 111, 0, 0]	Shanai
[p2, 112, 0, 0]	TinkleBell
[p2, 113, 0, 0]	Agogo
[p2, 114, 0, 0]	Steel Drum
[p2, 115, 0, 0]	Wood Block
[p2, 116, 0, 0]	Taiko
[p2, 117, 0, 0]	Melo Tom
[p2, 118, 0, 0]	Synth Drum
[p2, 119, 0, 0]	ReverseCym
[p2, 120, 0, 0]	Gt.FretNze
[p2, 121, 0, 0]	Breath Nze
[p2, 122, 0, 0]	Seashore
[p2, 123, 0, 0]	Bird
[p2, 124, 0, 0]	Telephone
[p2, 125, 0, 0]	Helicopter
[p2, 126, 0, 0]	Applause
[p2, 127, 0, 0]	Gun Shot
[g1]		Group B1
[p2, 0, 1, 0]	8va Piano
[p2, 1, 1, 0]	PianoMorph
[p2, 2, 1, 0]	Whirl Lee
[p2, 3, 1, 0]	Player Pno
[p2, 4, 1, 0]	61 Tines
[p2, 5, 1, 0]	Rayz Roadz
[p2, 6, 1, 0]	8'4'Harpsi
[p2, 7, 1, 0]	Clavitube
[p2, 8, 1, 0]	Potsticker
[p2, 9, 1, 0]	AlloyGlock
[p2, 10, 1, 0]	Charms
